Name_of_image,Date,Adult_Juvenile_Medium,Quality,P_fl_1,P_fl_2,P_fl_3,A_fl_1,A_fl_2,A_fl_3,Length_1,Length_2,Length_3,Width_1,Width_2,Width_3,Thickness,Ejectisome_row_1,Ejectisome_row_2,Ejectisome_row_3
BEAP0128_RS150_21112023_good_1-1,21112023,M,0,7.046,7.138,6.981,4.315,4.861,4.692,4.274,4.42,4.403,3.353,3.365,3.258,,,,
BEAP0128_RS150_21112023_good_2-1,21112023,A,1,7.369,7.945,7.406,4.154,5.643,,5.182,5.087,5.385,3.762,3.452,3.799,,2.343,2.416,
BEAP0128_RS150_21112023_good_3-1,21112023,A,1,7.592,7.418,,4.905,5.21,4.937,4.167,4.302,4.382,3.451,3.475,3.563,,,,
BEAP0128_RS150_21112023_good_4-1,21112023,M,3,7.444,7.399,7.595,4.945,5.435,5.427,4.321,4.36,4.197,3.564,3.565,3.523,,1.951,2.07,1.904
BEAP0128_RS150_21112023_good_5-1,21112023,A,2,7.57,7.598,7.8,5.654,5.333,5.725,5.447,5.475,5.313,3.737,3.919,3.869,,,,
BEAP0128_RS150_21112023_good_6-1,21112023,A,2,8.404,,,5.431,5.548,,5.324,5.29,5.179,3.882,3.901,3.988,,2.238,2.333,2.306
BEAP0128_RS150_21112023_good_7-1,21112023,J,1,7.555,7.18,7.073,5.12,5.145,5.444,4.079,4.056,4.269,3.348,3.308,3.298,,,,
BEAP0128_RS150_21112023_good_8-1,21112023,J,1,7.118,6.577,,4.546,4.799,,4.158,3.691,,3.128,3.06,,,1.678,1.695,
BEAP0128_RS150_21112023_good_9-1A,21112023,A,3,8.027,7.822,7.584,5.346,,,4.377,5.019,4.96,3.897,3.883,3.609,,2.148,2.126,2.278
BEAP0128_RS150_21112023_good_9-1B,21112023,M,1,7.736,7.601,7.727,5.138,,,4.125,,,3.183,,,,,,
BEAP0128_RS150_21112023_good_10-1,21112023,M,2,7.69,6.912,7.979,5.26,5.158,4.984,4.191,4.223,4.13,3.679,3.589,3.653,,2.031,2.014,2.252
BEAP0128_RS150_21112023_good_11-1,21112023,A,2,7.531,7.974,7.835,5.604,5.21,5.644,4.685,4.615,4.571,3.72,3.653,3.652,,2.187,2.168,2.144
BEAP0128_RS150_21112023_good_12-1,21112023,A,2,7.549,7.565,7.684,5.487,5.169,,4.535,4.527,4.579,3.394,3.43,3.46,,1.545,1.708,1.678
BEAP0128_RS150_21112023_good_13-1,21112023,J,1,7.384,7.37,7.258,4.551,4.729,,3.684,3.749,3.915,3.132,3.149,3.078,,,,
BEAP0128_RS150_21112023_good_14-1,21112023,A,2,7.87,7.914,7.369,5.109,5.525,5.384,4.886,4.972,4.941,3.805,3.681,3.748,,1.968,2.284,2.199
BEAP0128_RS150_21112023_good_15-1,21112023,J,1,7.581,7.083,,5.171,5.359,5.105,3.194,3.847,3.95,3.96,3.22,3.244,,2.021,2.068,1.95
